source_file,image_id,population,object_id,centroid_nucleus_y_px,centroid_nucleus_x_px,area_nucleus_um2,nucleus_major_axis_px,nucleus_minor_axis_px,nucleus_aspect_ratio,mean_intensity_protein_nucleus
CTRL.tif,CTRL,all_cells,1,13.24468085106383,15.669148936170213,44.127791355556596,40.3757374970199,31.037538902416976,1.3008678820818402,40.981766
CTRL.tif,CTRL,all_cells,2,19.659839715048975,116.65494211932324,105.43725466444693,64.3483837413866,44.827394398621315,1.4354700870895511,45.81173
CTRL.tif,CTRL,all_cells,3,10.892483349191247,264.55851569933395,49.33862629222339,52.17834317995493,26.655660613015254,1.957495780632712,49.407913
CTRL.tif,CTRL,all_cells,4,19.97764598540146,373.29972627737226,102.90225388444686,66.04211155576182,43.18169017233919,1.5294008014087945,43.60343
CTRL.tif,CTRL,all_cells,6,20.104543234000978,491.4421104054714,96.09530734555781,56.78473185390762,48.2761402853639,1.1762483810480455,57.80222
CTRL.tif,CTRL,all_cells,7,25.929655870445345,544.0561740890688,92.76225076444663,54.80934329926308,46.60542173629307,1.1760293385904792,48.31738
CTRL.tif,CTRL,all_cells,9,23.894039735099337,749.8157382158162,120.50642596778063,65.60951133897217,49.9394244976019,1.3137818867360547,57.38344
CTRL.tif,CTRL,all_cells,10,15.845309928688975,991.1162918266593,85.57974855444647,66.83407212945637,34.94742997881372,1.9124173700318845,53.60113
CTRL.tif,CTRL,all_cells,11,16.334799340296865,1116.1275426058273,85.3919707188909,60.033916790090366,40.70642577423027,1.4748019667227972,47.51716
CTRL.tif,CTRL,all_cells,12,43.369217830109335,829.8057190916737,111.63392323778041,61.6518648652525,49.274058081143906,1.2512033160273703,58.196323
CTRL.tif,CTRL,all_cells,13,53.80076419213974,16.393558951965066,86.00224868444647,63.298295189404215,38.43912331222646,1.6467153705680566,42.388252
CTRL.tif,CTRL,all_cells,14,66.09747102212856,256.53793466807167,89.10058297111321,53.018908060549165,46.655684695757984,1.1363868820334715,54.53146
CTRL.tif,CTRL,all_cells,15,64.39557836557442,644.7335175681011,118.91031436555835,65.43970883223818,49.76161735110547,1.3150639451791133,62.947155
CTRL.tif,CTRL,all_cells,16,70.99930458970793,961.3028511821975,135.01226376444765,67.70289813130435,54.2663447014991,1.247603804968166,50.7731
CTRL.tif,CTRL,all_cells,17,68.91590493601463,419.26569165143206,77.03585703666847,52.82414467316837,39.757111710844875,1.3286715860387588,50.414467
CTRL.tif,CTRL,all_cells,18,72.66307814992025,1073.9421850079746,117.73670289333612,63.191226571105474,50.61205078044301,1.248541120082871,46.266006
CTRL.tif,CTRL,all_cells,19,76.96052631578948,315.543324775353,146.27893389778123,67.70243631867622,58.764136521541495,1.152104673466242,55.435814
CTRL.tif,CTRL,all_cells,20,79.77315767805682,893.6982297241664,114.0280906411138,61.3011413951975,50.50146263056786,1.2138488313424163,59.561077
CTRL.tif,CTRL,all_cells,21,90.78154981549815,199.99151291512916,127.21948358889189,67.08167877804188,51.47989542587978,1.3030655603142276,58.70928
CTRL.tif,CTRL,all_cells,22,85.8697286012526,475.49561586638833,112.43197903889153,56.02683293922004,54.61588608819454,1.0258340009122453,58.049805
